ticker,segmento,ventana,dia_rel,car_medio,car_medio_sin_alpha,n_eventos
CRWD,media,20,-2,-0.070608,-0.028717,9
CRWD,media,20,-1,-0.079279,-0.035183,9
CRWD,media,20,0,-0.085362,-0.039062,9
CRWD,media,20,1,-0.091205,-0.0427,9
CRWD,media,20,2,-0.09352,-0.042811,9
CRWD,media,20,3,-0.089217,-0.036303,9
CRWD,media,20,4,-0.08558,-0.03046,9
CRWD,media,20,5,-0.094946,-0.037622,9
CRWD,media,20,6,-0.082114,-0.022585,9
CRWD,media,20,7,-0.090371,-0.028637,9
CRWD,media,20,8,-0.095459,-0.031521,9
CRWD,media,20,9,-0.08408,-0.017937,9
CRWD,media,20,10,-0.070618,-0.00227,9
CRWD,media,20,11,-0.059996,0.010557,9
CRWD,media,20,12,-0.057676,0.015081,9
CRWD,media,20,13,-0.046684,0.028278,9
CRWD,media,20,14,-0.036555,0.040612,9
CRWD,media,20,15,-0.036373,0.042998,9
CRWD,media,20,16,-0.041433,0.040143,9
CRWD,media,20,17,-0.051065,0.032716,9
CRWD,media,20,18,-0.060719,0.025267,9
CRWD,media,20,19,-0.064009,0.024182,9
CRWD,media,20,20,-0.067341,0.023054,9
DDOG,baja,20,-20,-0.007246,-0.005458,9
DDOG,baja,20,-19,-0.022212,-0.018637,9
DDOG,baja,20,-18,-0.026486,-0.021124,9
DDOG,baja,20,-17,-0.026481,-0.019331,9
DDOG,baja,20,-16,-0.014754,-0.005816,9
DDOG,baja,20,-15,-0.031423,-0.020697,9
DDOG,baja,20,-14,-0.050457,-0.037944,9
DDOG,baja,20,-13,-0.046515,-0.032214,9
DDOG,baja,20,-12,-0.06518,-0.049092,9
DDOG,baja,20,-11,-0.067042,-0.049167,9
DDOG,baja,20,-10,-0.060881,-0.041218,9
DDOG,baja,20,-9,-0.05974,-0.038289,9
DDOG,baja,20,-8,-0.065196,-0.041958,9
DDOG,baja,20,-7,-0.060529,-0.035503,9
DDOG,baja,20,-6,-0.07457,-0.047757,9
DDOG,baja,20,-5,-0.074205,-0.045604,9
DDOG,baja,20,-4,-0.058055,-0.027666,9
DDOG,baja,20,-3,-0.059709,-0.027533,9
DDOG,baja,20,-2,-0.065099,-0.031135,9
DDOG,baja,20,-1,-0.081726,-0.045974,9
DDOG,baja,20,0,-0.054485,-0.016946,9
DDOG,baja,20,1,-0.057547,-0.018221,9
DDOG,baja,20,2,-0.068078,-0.026964,9
DDOG,baja,20,3,-0.079658,-0.036756,9
DDOG,baja,20,4,-0.070555,-0.025866,9
DDOG,baja,20,5,-0.069876,-0.023399,9
DDOG,baja,20,6,-0.060341,-0.012077,9
DDOG,baja,20,7,-0.079837,-0.029785,9
DDOG,baja,20,8,-0.08028,-0.028441,9
DDOG,baja,20,9,-0.080961,-0.027334,9
DDOG,baja,20,10,-0.077226,-0.021812,9
DDOG,baja,20,11,-0.079571,-0.022369,9
DDOG,baja,20,12,-0.094561,-0.035571,9
DDOG,baja,20,13,-0.106044,-0.045266,9
DDOG,baja,20,14,-0.118699,-0.056134,9
DDOG,baja,20,15,-0.1321,-0.067748,9
DDOG,baja,20,16,-0.128213,-0.062073,9
DDOG,baja,20,17,-0.12377,-0.055842,9
