ticker,dia,n_mensajes,finbert,probe,vader
DIS,2020-06-19,20,0.0102,0.4845,0.0096
DIS,2020-06-20,20,-0.162,0.2762,0.0729
DIS,2020-06-21,20,-0.0419,0.3113,0.1116
DIS,2020-06-22,20,-0.0129,0.2649,0.0027
DIS,2020-06-23,20,0.0233,0.05,0.0604
DIS,2020-06-24,20,-0.1989,0.1526,-0.0143
DIS,2020-06-25,20,-0.0461,0.4444,-0.0332
DIS,2020-06-26,20,-0.1633,0.1255,-0.0387
DIS,2020-06-27,20,-0.0241,0.179,0.0954
DIS,2020-06-28,20,-0.1435,0.1582,0.0482
DIS,2020-06-29,20,-0.0018,0.1753,0.0809
DIS,2020-06-30,20,0.0699,0.2532,0.0167
DIS,2020-07-01,20,0.067,0.2718,0.0551
DIS,2020-07-02,20,-0.1039,0.3026,0.0509
DIS,2020-07-03,20,0.0665,0.2843,0.0516
DIS,2020-07-04,20,-0.0352,0.2317,0.0315
DIS,2020-07-05,20,-0.1578,0.2413,0.0232
DIS,2020-07-06,20,-0.0574,0.1973,-0.0289
DIS,2020-07-07,20,0.1045,0.2496,0.0353
DIS,2020-07-08,20,-0.0647,0.2568,0.036
DIS,2020-07-09,20,0.0083,0.1268,0.0935
DIS,2020-07-10,20,0.0328,0.3547,0.0267
DIS,2020-07-11,20,-0.1256,0.2223,-0.0258
DIS,2020-07-12,20,-0.0509,0.2744,-0.0094
DIS,2020-07-13,20,-0.0137,0.1404,0.0592
DIS,2020-07-14,20,-0.0345,0.1075,0.0659
DIS,2020-07-15,20,0.038,0.3285,0.0344
DIS,2020-07-16,20,-0.0729,0.1448,0.0688
DIS,2020-07-17,20,0.1194,0.3797,0.0752
DIS,2020-07-18,20,-0.0915,0.2423,0.054
DIS,2020-07-19,20,-0.0587,0.011,0.0632
DIS,2020-07-20,20,-0.128,0.2172,-0.0143
DIS,2020-07-21,20,-0.0011,0.2079,0.1294
DIS,2020-07-22,20,0.0219,0.4826,0.0622
DIS,2020-07-23,20,-0.1209,0.2698,0.0729
DIS,2020-07-24,20,0.0269,0.1167,0.0806
DIS,2020-07-25,20,-0.011,0.22,0.0621
DIS,2020-07-26,20,0.1044,0.2729,0.0248
DIS,2020-07-27,20,0.014,0.2376,-0.0013
DIS,2020-07-28,20,0.0694,0.243,0.1148
